number,picture,question,choice,answer,page,comment
1,null,자동차의 오토라이트 내부에 있는 조도센서의 빛의 밝기를 감지하는 부분으로 빛이 밝으면 저항이 감소하고 어두워지면 저항이 증가하는 특성을 감지하는 구성품은?,"""BCM(Body Controll Module)""""광전도 소자(CdS)""""파워 TR""""IMS(시트 메모리 유닛)""",2,전기중급 P231,null
2,null,오토라이트(Auto light) 제어 회로의 구성부품으로 가장 거리가 먼 것은?,"""압력센서""""조도감지 센서""""오토라이트 스위치""""램프 제어용 휴즈 및 릴레이""",1,전기중급 P231,null
3,null,오토라이트 시스템은 주위의 밝기에 따라 자동으로 미등 및 전조등을 ON 시켜주는 장치이다. 이 때 빛의 밝기를 감지하는 조도센서의 소자는 무엇인가?,"""광전도소자(CdS)""""반도체피에조""""포토 다이오드""""옵티컬 다이오드""",1,전기중급 P231,null
4,null,"강우량, 빛의 밝기 및 일조량을 검출할 수 있으며 전방 와이퍼 제어, 오토라이트 제어, 중앙공조제어 등 3가지 시스템을 제어하는 방식은 무엇인가?","""통합형 레인센서""""릴레이 직접 제어방식""""레인센서""""릴레이 간접 제어방식""",1,null,null
5,null,레인센서는 주변 간섭에 따라 통합형 레인센서가 오작동할 수 있는 조건이 아닌 것은?,"""측정 표면 및 모든 빛의 경로상 표면 (발광과 수광 다이오드의 표면, 광학 섬유(Obtic fiber), 커플링 패드, 윈드쉴드의 접합부 유리 표면)의 먼지는 측정신호를 약화시킨다.""""진동에 의한 브래킷의 움직에 의해 레인센서는 오작동할 수 있다.""""손상된 헤드램프에 의해 레인센서는 오작동할 수 있다.""""주행 중 차체의 진동의 의해 레인센서는 오작동 할 수 있다.""",4,전기중급 P192~193,null
6,null,통합형 레인센서와 윈드쉴드 와이퍼의 작동에서 두 번 이상 0.5~5초 사이의 휴지 기간을 가지고 연속적으로 와이퍼 작동이 이루어지면 통합형 레인센서의 동작 모드는 무엇인가?,"""Direct 모드""""간헐 모드""""Low 모드""""High 모드""",2,null,null
7,comvenience_mc_7,5핀 릴레이 점검 사항에 대한 설명이다. 맞지 않은 것은?,"""85번과 86번 사이의 코일의 저항은 약 80~110옴이 측정되어야 정상이다.""""내부에 역기전력에 의한 전자회로 소손을 방지하기 위하여 캐패시터, 저항 또는 프리 휠링 다이오드(free wheeling diode)가 장착되어 있다.""""87a번과 30번 단자사이의 스위치는 86번과 85번이 자화가 되어 스위치가 on 상태이다.""""87a번과 30번 단자 사이의 저항 점검을 할 때 1옴이하면 정상이다.""",3,전기중급 P205,null
8,comvenience_mc_8,"점검 차량의 배터리 (+)단자 a부터 작동 모듈(ECU)의 전원공급 단자 b까지의 접촉 불량 및 저항의 존재 여부를 점검 하여야 하며, 전압이 13.8V였을 경우, 스위치 On 상태에서 b부위의 전압값은 얼마인가?","""13.5V""""13.6V""""13.7V""""13.8V""",2,전기중급 P201,배터리(+)에서 모듈(+)단자까지 선간전압은 0.2V이다. 13.8V - 0.2V = 13.6V
9,comvenience_mc_9,전압이 존재하지 않을 경우 a ~ b 회로의 저항은 얼마인가?,"""4옴 이하""""3옴 이하""""2옴 이하""""1옴 이하""",4,전기중급 P203,null
10,comvenience_mc_10,연결 터미널을 점검하였을 때 a~b 사이의 선간전압이 정상일 때 전압은?,"""1.0V 이내""""0.5V 이내""""0.3V 이내""""0.1V 이내""",4,전기중급 P203,null
11,null,레인센서의 구성품으로 맞지 않은 것은?,"""수광 다이오드""""발광 다이오드""""커플링 패드""""조도 센서""",4,null,조도센서는 통합형 레인센서 구성품이다.
12,null,오토라이트의 구성 부품으로 맞지 않은 것은?,"""오토라이트 센서""""전조등""""점등 스위치""""PCM""",4,null,PCM은 파워트레인 컨트롤 모듈이다. 오토라이트는 BCM으로 부터 제어받는다.
